lat,long,elev,timediff,current_time,OBUID
408621658,-778348674,3321,1:11:13.650000,"(datetime.datetime(2026, 8, 21, 17, 6, 14, 916000),)",2a3c603c
408621616,-778348825,3321,1:11:13.740000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 12000),)",2a3c603c
408623346,-778344139,3344,1:11:13.760000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 29000),)",2a3c600d
408623279,-778344270,3344,1:11:13.830000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 97000),)",2a3c600d
408621575,-778348973,3321,1:11:13.850000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 114000),)",2a3c603c
408623214,-778344402,3344,1:11:13.930000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 197000),)",2a3c600d
408621532,-778349128,3321,1:11:13.940000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 212000),)",2a3c603c
408623149,-778344538,3344,1:11:14.030000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 297000),)",2a3c600d
408621496,-778349276,3321,1:11:14.050000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 313000),)",2a3c603c
408623084,-778344670,3343,1:11:14.130000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 397000),)",2a3c600d
408621458,-778349431,3321,1:11:14.150000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 415000),)",2a3c603c
408623023,-778344809,3344,1:11:14.230000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 497000),)",2a3c600d
408621421,-778349580,3321,1:11:14.240000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 510000),)",2a3c603c
408622959,-778344945,3343,1:11:14.330000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 597000),)",2a3c600d
408621384,-778349734,3321,1:11:14.350000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 613000),)",2a3c603c
408622897,-778345081,3343,1:11:14.430000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 697000),)",2a3c600d
408621350,-778349884,3321,1:11:14.450000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 719000),)",2a3c603c
408622835,-778345218,3343,1:11:14.530000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 798000),)",2a3c600d
408621315,-778350038,3321,1:11:14.550000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 813000),)",2a3c603c
408622773,-778345357,3343,1:11:14.630000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 898000),)",2a3c600d
408621283,-778350192,3321,1:11:14.660000,"(datetime.datetime(2026, 8, 21, 17, 6, 15, 925000),)",2a3c603c
