lat,long,elev,timediff,current_time,OBUID
408658475,-778314124,3344,1:15:53.380000,"(datetime.datetime(2026, 8, 21, 17, 10, 54, 649000),)",2a3c603c
408658663,-778315324,3373,1:15:53.460000,"(datetime.datetime(2026, 8, 21, 17, 10, 54, 731000),)",2a3c600d
408658475,-778314124,3344,1:15:53.480000,"(datetime.datetime(2026, 8, 21, 17, 10, 54, 745000),)",2a3c603c
408658663,-778315324,3373,1:15:53.560000,"(datetime.datetime(2026, 8, 21, 17, 10, 54, 831000),)",2a3c600d
408658475,-778314124,3344,1:15:53.580000,"(datetime.datetime(2026, 8, 21, 17, 10, 54, 846000),)",2a3c603c
408658663,-778315324,3373,1:15:53.660000,"(datetime.datetime(2026, 8, 21, 17, 10, 54, 931000),)",2a3c600d
408658475,-778314124,3344,1:15:53.680000,"(datetime.datetime(2026, 8, 21, 17, 10, 54, 946000),)",2a3c603c
408658663,-778315324,3373,1:15:53.770000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 37000),)",2a3c600d
408658475,-778314124,3344,1:15:53.780000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 46000),)",2a3c603c
408658663,-778315324,3373,1:15:53.860000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 131000),)",2a3c600d
408658476,-778314125,3344,1:15:53.890000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 157000),)",2a3c603c
408658663,-778315324,3373,1:15:53.960000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 232000),)",2a3c600d
408658476,-778314125,3344,1:15:53.980000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 246000),)",2a3c603c
408658663,-778315324,3373,1:15:54.060000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 332000),)",2a3c600d
408658476,-778314125,3344,1:15:54.090000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 353000),)",2a3c603c
408658663,-778315324,3373,1:15:54.160000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 431000),)",2a3c600d
408658476,-778314125,3344,1:15:54.190000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 456000),)",2a3c603c
408658663,-778315324,3373,1:15:54.260000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 531000),)",2a3c600d
408658476,-778314125,3344,1:15:54.290000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 556000),)",2a3c603c
408658663,-778315324,3373,1:15:54.360000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 631000),)",2a3c600d
408658476,-778314125,3344,1:15:54.400000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 665000),)",2a3c603c
408658663,-778315324,3373,1:15:54.460000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 731000),)",2a3c600d
408658476,-778314125,3344,1:15:54.490000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 756000),)",2a3c603c
408658663,-778315324,3373,1:15:54.560000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 832000),)",2a3c600d
408658476,-778314125,3344,1:15:54.590000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 856000),)",2a3c603c
408658663,-778315324,3373,1:15:54.660000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 931000),)",2a3c600d
408658476,-778314125,3344,1:15:54.690000,"(datetime.datetime(2026, 8, 21, 17, 10, 55, 956000),)",2a3c603c
408658663,-778315324,3373,1:15:54.760000,"(datetime.datetime(2026, 8, 21, 17, 10, 56, 32000),)",2a3c600d
408658476,-778314125,3344,1:15:54.790000,"(datetime.datetime(2026, 8, 21, 17, 10, 56, 56000),)",2a3c603c
408658663,-778315324,3373,1:15:54.860000,"(datetime.datetime(2026, 8, 21, 17, 10, 56, 131000),)",2a3c600d
408658476,-778314126,3344,1:15:54.890000,"(datetime.datetime(2026, 8, 21, 17, 10, 56, 156000),)",2a3c603c
408658663,-778315324,3373,1:15:54.970000,"(datetime.datetime(2026, 8, 21, 17, 10, 56, 240000),)",2a3c600d
408658476,-778314126,3344,1:15:55,"(datetime.datetime(2026, 8, 21, 17, 10, 56, 264000),)",2a3c603c
408658663,-778315324,3373,1:15:55.030000,"(datetime.datetime(2026, 8, 21, 17, 10, 56, 301000),)",2a3c600d
408658476,-778314126,3344,1:15:55.090000,"(datetime.datetime(2026, 8, 21, 17, 10, 56, 356000),)",2a3c603c
408658663,-778315324,3373,1:15:55.130000,"(datetime.datetime(2026, 8, 21, 17, 10, 56, 397000),)",2a3c600d
