lat,long,elev,timediff,current_time,OBUID
408636166,-778321679,3351,1:31:59.840000,"(datetime.datetime(2026, 8, 7, 16, 34, 58, 661000),)",2a3c600d
408636645,-778321763,3392,1:31:59.900000,"(datetime.datetime(2026, 8, 7, 16, 34, 58, 721000),)",2a3c603c
408636166,-778321679,3351,1:31:59.950000,"(datetime.datetime(2026, 8, 7, 16, 34, 58, 773000),)",2a3c600d
408636640,-778321770,3392,1:32:00.010000,"(datetime.datetime(2026, 8, 7, 16, 34, 58, 832000),)",2a3c603c
408636166,-778321679,3351,1:32:00.040000,"(datetime.datetime(2026, 8, 7, 16, 34, 58, 859000),)",2a3c600d
408636637,-778321777,3392,1:32:00.100000,"(datetime.datetime(2026, 8, 7, 16, 34, 58, 925000),)",2a3c603c
408636166,-778321679,3351,1:32:00.140000,"(datetime.datetime(2026, 8, 7, 16, 34, 58, 958000),)",2a3c600d
408636633,-778321782,3392,1:32:00.200000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 19000),)",2a3c603c
408636166,-778321679,3351,1:32:00.250000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 69000),)",2a3c600d
408636630,-778321788,3392,1:32:00.300000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 121000),)",2a3c603c
408636166,-778321679,3351,1:32:00.340000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 158000),)",2a3c600d
408636639,-778321777,3394,1:32:00.400000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 221000),)",2a3c603c
408636165,-778321679,3351,1:32:00.440000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 261000),)",2a3c600d
408636635,-778321785,3394,1:32:00.500000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 322000),)",2a3c603c
408636165,-778321679,3351,1:32:00.540000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 362000),)",2a3c600d
408636632,-778321790,3394,1:32:00.600000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 419000),)",2a3c603c
408636165,-778321679,3351,1:32:00.640000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 462000),)",2a3c600d
408636629,-778321797,3394,1:32:00.700000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 523000),)",2a3c603c
408636165,-778321679,3351,1:32:00.730000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 556000),)",2a3c600d
408636623,-778321801,3394,1:32:00.800000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 617000),)",2a3c603c
408636165,-778321679,3351,1:32:00.830000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 657000),)",2a3c600d
408636620,-778321808,3394,1:32:00.890000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 716000),)",2a3c603c
408636165,-778321679,3351,1:32:00.940000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 763000),)",2a3c600d
408636615,-778321817,3394,1:32:00.990000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 816000),)",2a3c603c
408636165,-778321679,3351,1:32:01.040000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 858000),)",2a3c600d
408636613,-778321822,3394,1:32:01.100000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 919000),)",2a3c603c
408636165,-778321679,3351,1:32:01.150000,"(datetime.datetime(2026, 8, 7, 16, 34, 59, 971000),)",2a3c600d
408636608,-778321831,3394,1:32:01.200000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 20000),)",2a3c603c
408636165,-778321679,3351,1:32:01.240000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 59000),)",2a3c600d
408636603,-778321839,3394,1:32:01.300000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 120000),)",2a3c603c
408636165,-778321679,3351,1:32:01.340000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 162000),)",2a3c600d
408636610,-778321857,3393,1:32:01.390000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 216000),)",2a3c603c
408636165,-778321679,3351,1:32:01.440000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 264000),)",2a3c600d
408636608,-778321864,3393,1:32:01.490000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 317000),)",2a3c603c
408636165,-778321679,3351,1:32:01.530000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 357000),)",2a3c600d
408636605,-778321873,3393,1:32:01.600000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 420000),)",2a3c603c
408636165,-778321679,3351,1:32:01.640000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 462000),)",2a3c600d
408636598,-778321880,3393,1:32:01.700000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 519000),)",2a3c603c
408636165,-778321679,3351,1:32:01.730000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 557000),)",2a3c600d
408636592,-778321888,3393,1:32:01.790000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 615000),)",2a3c603c
408636165,-778321679,3351,1:32:01.830000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 657000),)",2a3c600d
408636587,-778321899,3393,1:32:01.890000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 717000),)",2a3c603c
408636165,-778321679,3351,1:32:01.930000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 757000),)",2a3c600d
408636581,-778321907,3393,1:32:01.990000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 815000),)",2a3c603c
408636165,-778321679,3351,1:32:02.030000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 856000),)",2a3c600d
408636579,-778321918,3393,1:32:02.090000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 916000),)",2a3c603c
408636165,-778321679,3351,1:32:02.130000,"(datetime.datetime(2026, 8, 7, 16, 35, 0, 956000),)",2a3c600d
