lat,long,elev,timediff
408636333,-778323774,3340,0:34:22.929000,2a3c600a
408636409,-778323633,3340,0:34:23.030000,2a3c600a
408636488,-778323491,3340,0:34:23.130000,2a3c600a
408636558,-778323346,3340,0:34:23.170000,2a3c600a
408636630,-778323205,3340,0:34:23.239000,2a3c600a
408636695,-778323061,3340,0:34:23.270000,2a3c600a
408636762,-778322919,3340,0:34:23.280000,2a3c600a
408636834,-778322776,3340,0:34:23.380000,2a3c600a
408636900,-778322634,3340,0:34:23.389000,2a3c600a
408636970,-778322492,3341,0:34:23.400000,2a3c600a
408637037,-778322350,3341,0:34:23.409000,2a3c600a
408637101,-778322206,3340,0:34:23.440000,2a3c600a
408637161,-778322062,3341,0:34:23.540000,2a3c600a
408637220,-778321923,3340,0:34:23.650000,2a3c600a
408637283,-778321779,3341,0:34:23.750000,2a3c600a
408637347,-778321638,3340,0:34:23.850000,2a3c600a
408637407,-778321500,3340,0:34:23.949000,2a3c600a
408637478,-778321359,3340,0:34:24.050000,2a3c600a
408637536,-778321221,3340,0:34:24.159000,2a3c600a
408637598,-778321088,3341,0:34:24.260000,2a3c600a
408637659,-778320954,3340,0:34:24.400000,2a3c600a
408637720,-778320823,3340,0:34:24.409000,2a3c600a
408637782,-778320693,3340,0:34:24.510000,2a3c600a
408637847,-778320562,3340,0:34:24.600000,2a3c600a
408637908,-778320430,3340,0:34:24.699000,2a3c600a
408637972,-778320305,3340,0:34:24.800000,2a3c600a
408638044,-778320179,3340,0:34:24.900000,2a3c600a
408638113,-778320050,3340,0:34:25,2a3c600a
408638181,-778319930,3340,0:34:25.100000,2a3c600a
408638249,-778319805,3340,0:34:25.199000,2a3c600a
408638249,-778319805,3340,0:34:25.300000,2a3c600a
408638389,-778319566,3340,0:34:25.409000,2a3c600a
408638458,-778319448,3340,0:34:25.500000,2a3c600a
408638458,-778319448,3340,0:34:25.600000,2a3c600a
408638595,-778319213,3340,0:34:25.699000,2a3c600a
408638666,-778319093,3340,0:34:25.800000,2a3c600a
408638739,-778318978,3340,0:34:25.900000,2a3c600a
408638809,-778318852,3339,0:34:26,2a3c600a
408638809,-778318852,3339,0:34:26.100000,2a3c600a
408638877,-778318737,3340,0:34:26.199000,2a3c600a
408638949,-778318619,3340,0:34:26.300000,2a3c600a
408639016,-778318500,3340,0:34:26.400000,2a3c600a
408639086,-778318384,3340,0:34:26.500000,2a3c600a
408639156,-778318266,3340,0:34:26.600000,2a3c600a
408639295,-778318032,3340,0:34:26.699000,2a3c600a
408639362,-778317911,3340,0:34:26.800000,2a3c600a
408639362,-778317911,3340,0:34:26.900000,2a3c600a
408639500,-778317667,3340,0:34:27,2a3c600a
408639500,-778317667,3340,0:34:27.100000,2a3c600a
408639573,-778317550,3340,0:34:27.199000,2a3c600a
408639639,-778317430,3340,0:34:27.300000,2a3c600a
408639711,-778317310,3341,0:34:27.400000,2a3c600a
408639850,-778317067,3341,0:34:27.500000,2a3c600a
408639850,-778317067,3341,0:34:27.600000,2a3c600a
408639919,-778316949,3341,0:34:27.710000,2a3c600a
408639992,-778316832,3341,0:34:27.800000,2a3c600a
408640062,-778316712,3341,0:34:27.900000,2a3c600a
408640132,-778316599,3341,0:34:28,2a3c600a
408640201,-778316487,3341,0:34:28.100000,2a3c600a
408640271,-778316373,3340,0:34:28.170000,2a3c600a
408640342,-778316259,3340,0:34:28.260000,2a3c600a
408640406,-778316147,3341,0:34:28.350000,2a3c600a
408640474,-778316036,3341,0:34:28.449000,2a3c600a
408640544,-778315929,3341,0:34:28.550000,2a3c600a
408640607,-778315820,3341,0:34:28.650000,2a3c600a
408640671,-778315715,3340,0:34:28.750000,2a3c600a
408640736,-778315607,3341,0:34:28.850000,2a3c600a
408640797,-778315504,3341,0:34:28.949000,2a3c600a
408640863,-778315397,3341,0:34:29.060000,2a3c600a
408640983,-778315197,3341,0:34:29.280000,2a3c600a
408641042,-778315095,3341,0:34:29.350000,2a3c600a
408641102,-778314995,3341,0:34:29.449000,2a3c600a
408641158,-778314889,3341,0:34:29.550000,2a3c600a
408641216,-778314785,3341,0:34:29.560000,2a3c600a
408641216,-778314785,3341,0:34:29.650000,2a3c600a
408641274,-778314684,3340,0:34:29.760000,2a3c600a
408641337,-778314584,3341,0:34:29.860000,2a3c600a
408641392,-778314482,3340,0:34:29.960000,2a3c600a
408641516,-778314272,3340,0:34:30.060000,2a3c600a
408641516,-778314272,3340,0:34:30.159000,2a3c600a
408641625,-778314081,3341,0:34:30.260000,2a3c600a
408641679,-778313981,3341,0:34:30.350000,2a3c600a
408641679,-778313981,3341,0:34:30.449000,2a3c600a
408641739,-778313877,3341,0:34:30.550000,2a3c600a
408641797,-778313776,3342,0:34:30.650000,2a3c600a
408641856,-778313675,3342,0:34:30.750000,2a3c600a
408641909,-778313573,3342,0:34:30.860000,2a3c600a
408641962,-778313472,3341,0:34:30.960000,2a3c600a
408642016,-778313366,3341,0:34:31.060000,2a3c600a
408642071,-778313268,3341,0:34:31.159000,2a3c600a
408642123,-778313168,3341,0:34:31.250000,2a3c600a
408642181,-778313068,3341,0:34:31.360000,2a3c600a
408642236,-778312968,3341,0:34:31.449000,2a3c600a
408642289,-778312867,3340,0:34:31.550000,2a3c600a
408642338,-778312769,3340,0:34:31.650000,2a3c600a
408642395,-778312668,3341,0:34:31.760000,2a3c600a
408642452,-778312565,3341,0:34:31.850000,2a3c600a
408642507,-778312467,3341,0:34:31.949000,2a3c600a
408642569,-778312362,3341,0:34:32.060000,2a3c600a
408642628,-778312261,3340,0:34:32.150000,2a3c600a
408642683,-778312158,3341,0:34:32.260000,2a3c600a
408642741,-778312057,3341,0:34:32.350000,2a3c600a
408642801,-778311956,3340,0:34:32.460000,2a3c600a
408642855,-778311851,3341,0:34:32.560000,2a3c600a
408642911,-778311751,3340,0:34:32.650000,2a3c600a
408642965,-778311648,3340,0:34:32.780000,2a3c600a
408643026,-778311543,3340,0:34:32.860000,2a3c600a
408643082,-778311438,3340,0:34:32.960000,2a3c600a
408643136,-778311336,3340,0:34:33.060000,2a3c600a
408643195,-778311229,3340,0:34:33.159000,2a3c600a
408643249,-778311124,3340,0:34:33.250000,2a3c600a
408643309,-778311021,3340,0:34:33.350000,2a3c600a
408643367,-778310919,3340,0:34:33.460000,2a3c600a
408643431,-778310814,3340,0:34:33.550000,2a3c600a
408643489,-778310709,3340,0:34:33.650000,2a3c600a
408643549,-778310606,3341,0:34:33.760000,2a3c600a
408643608,-778310500,3340,0:34:33.860000,2a3c600a
408643675,-778310398,3341,0:34:33.960000,2a3c600a
408643728,-778310294,3340,0:34:34.050000,2a3c600a
408643791,-778310190,3340,0:34:34.150000,2a3c600a
408643854,-778310086,3340,0:34:34.260000,2a3c600a
408643918,-778309982,3340,0:34:34.360000,2a3c600a
408643980,-778309879,3340,0:34:34.500000,2a3c600a
408644041,-778309774,3340,0:34:34.620000,2a3c600a
408644105,-778309670,3341,0:34:34.780000,2a3c600a
408644167,-778309564,3340,0:34:34.830000,2a3c600a
408644230,-778309459,3340,0:34:34.909000,2a3c600a
408644304,-778309350,3341,0:34:35.040000,2a3c600a
408644366,-778309245,3341,0:34:35.230000,2a3c600a
408644429,-778309140,3341,0:34:35.440000,2a3c600a
408644494,-778309035,3341,0:34:35.560000,2a3c600a
408644554,-778308930,3341,0:34:35.730000,2a3c600a
408644622,-778308829,3341,0:34:35.870000,2a3c600a
408644684,-778308728,3341,0:34:35.920000,2a3c600a
408644752,-778308624,3341,0:34:36.050000,2a3c600a
408644816,-778308524,3342,0:34:36.060000,2a3c600a
408644881,-778308421,3341,0:34:36.260000,2a3c600a
408644948,-778308319,3342,0:34:36.469000,2a3c600a
408645018,-778308220,3341,0:34:36.550000,2a3c600a
408645085,-778308122,3341,0:34:36.670000,2a3c600a
408645152,-778308022,3341,0:34:36.760000,2a3c600a
408645224,-778307927,3341,0:34:36.889000,2a3c600a
408645292,-778307829,3341,0:34:37.080000,2a3c600a
408645362,-778307738,3341,0:34:37.159000,2a3c600a
408645430,-778307646,3342,0:34:37.489000,2a3c600a
408645503,-778307554,3341,0:34:37.540000,2a3c600a
408645572,-778307464,3342,0:34:37.570000,2a3c600a
408645646,-778307372,3342,0:34:37.780000,2a3c600a
408645719,-778307278,3342,0:34:37.780000,2a3c600a
408645795,-778307191,3342,0:34:37.889000,2a3c600a
408645864,-778307105,3342,0:34:37.949000,2a3c600a
408645939,-778307024,3343,0:34:37.960000,2a3c600a
408646011,-778306942,3342,0:34:37.980000,2a3c600a
408646083,-778306857,3343,0:34:38.080000,2a3c600a
408646158,-778306778,3343,0:34:38.219000,2a3c600a
408646233,-778306700,3343,0:34:38.290000,2a3c600a
408646308,-778306626,3343,0:34:38.429000,2a3c600a
408646383,-778306548,3344,0:34:38.500000,2a3c600a
408646458,-778306469,3344,0:34:38.520000,2a3c600a
408646539,-778306403,3343,0:34:38.600000,2a3c600a
408646618,-778306335,3344,0:34:38.699000,2a3c600a
408646695,-778306272,3344,0:34:38.830000,2a3c600a
408646776,-778306205,3344,0:34:38.900000,2a3c600a
408646857,-778306145,3344,0:34:39.010000,2a3c600a
408646940,-778306085,3345,0:34:39.110000,2a3c600a
408647020,-778306025,3345,0:34:39.210000,2a3c600a
408647104,-778305966,3345,0:34:39.250000,2a3c600a
408647182,-778305911,3345,0:34:39.250000,2a3c600a
408647267,-778305846,3345,0:34:39.260000,2a3c600a
408647352,-778305800,3346,0:34:39.270000,2a3c600a
408647438,-778305746,3346,0:34:39.280000,2a3c600a
408647518,-778305695,3346,0:34:39.360000,2a3c600a
408647601,-778305646,3346,0:34:39.449000,2a3c600a
408647686,-778305602,3347,0:34:39.550000,2a3c600a
408647775,-778305556,3347,0:34:39.650000,2a3c600a
408647862,-778305512,3347,0:34:39.760000,2a3c600a
408647949,-778305470,3347,0:34:39.860000,2a3c600a
408648040,-778305428,3348,0:34:39.960000,2a3c600a
408648125,-778305382,3348,0:34:40.060000,2a3c600a
408648219,-778305352,3348,0:34:40.159000,2a3c600a
408648313,-778305316,3348,0:34:40.260000,2a3c600a
408648402,-778305283,3349,0:34:40.360000,2a3c600a
408648497,-778305253,3348,0:34:40.460000,2a3c600a
408648589,-778305223,3348,0:34:40.570000,2a3c600a
408648682,-778305192,3349,0:34:40.659000,2a3c600a
408648781,-778305165,3349,0:34:40.760000,2a3c600a
408648875,-778305136,3349,0:34:40.850000,2a3c600a
408648969,-778305112,3350,0:34:40.960000,2a3c600a
408649065,-778305082,3350,0:34:41.060000,2a3c600a
408649167,-778305068,3350,0:34:41.159000,2a3c600a
408649266,-778305049,3350,0:34:41.260000,2a3c600a
408649364,-778305033,3350,0:34:41.350000,2a3c600a
408649465,-778305015,3351,0:34:41.449000,2a3c600a
408649564,-778304997,3351,0:34:41.550000,2a3c600a
408649665,-778304986,3351,0:34:41.650000,2a3c600a
408649768,-778304975,3351,0:34:41.750000,2a3c600a
408649871,-778304961,3351,0:34:41.850000,2a3c600a
408649972,-778304950,3351,0:34:41.960000,2a3c600a
408650074,-778304929,3352,0:34:42.070000,2a3c600a
408650179,-778304924,3353,0:34:42.159000,2a3c600a
408650285,-778304922,3352,0:34:42.260000,2a3c600a
408650392,-778304919,3352,0:34:42.360000,2a3c600a
408650497,-778304920,3352,0:34:42.460000,2a3c600a
408650601,-778304918,3353,0:34:42.560000,2a3c600a
408650705,-778304925,3353,0:34:42.659000,2a3c600a
408650812,-778304930,3353,0:34:42.760000,2a3c600a
408650920,-778304936,3353,0:34:42.860000,2a3c600a
408651026,-778304944,3353,0:34:42.949000,2a3c600a
408651130,-778304941,3354,0:34:43.060000,2a3c600a
408651242,-778304961,3354,0:34:43.159000,2a3c600a
408651350,-778304974,3354,0:34:43.270000,2a3c600a
408651459,-778304989,3354,0:34:43.360000,2a3c600a
408651568,-778305007,3354,0:34:43.449000,2a3c600a
408651676,-778305028,3354,0:34:43.560000,2a3c600a
408651787,-778305051,3355,0:34:43.659000,2a3c600a
408651895,-778305074,3355,0:34:43.760000,2a3c600a
408652006,-778305099,3355,0:34:43.860000,2a3c600a
408652113,-778305130,3355,0:34:43.960000,2a3c600a
408652220,-778305150,3355,0:34:44.050000,2a3c600a
408652337,-778305187,3355,0:34:44.159000,2a3c600a
408652449,-778305223,3355,0:34:44.260000,2a3c600a
408652558,-778305256,3355,0:34:44.360000,2a3c600a
408652669,-778305296,3355,0:34:44.480000,2a3c600a
408652776,-778305335,3355,0:34:44.560000,2a3c600a
408652891,-778305378,3356,0:34:44.600000,2a3c600a
408653001,-778305422,3356,0:34:44.699000,2a3c600a
408653110,-778305469,3356,0:34:44.810000,2a3c600a
408653222,-778305519,3356,0:34:44.909000,2a3c600a
408653327,-778305566,3356,0:34:45,2a3c600a
408653438,-778305630,3357,0:34:45.100000,2a3c600a
408653545,-778305685,3357,0:34:45.199000,2a3c600a
408653653,-778305745,3357,0:34:45.300000,2a3c600a
408653762,-778305805,3357,0:34:45.409000,2a3c600a
408653867,-778305869,3357,0:34:45.500000,2a3c600a
408653975,-778305932,3357,0:34:45.620000,2a3c600a
408654081,-778306001,3358,0:34:45.710000,2a3c600a
408654186,-778306071,3358,0:34:45.810000,2a3c600a
408654290,-778306142,3358,0:34:45.909000,2a3c600a
408654394,-778306205,3358,0:34:46.010000,2a3c600a
408654494,-778306288,3358,0:34:46.110000,2a3c600a
408654599,-778306365,3358,0:34:46.230000,2a3c600a
408654699,-778306442,3358,0:34:46.320000,2a3c600a
408654798,-778306523,3358,0:34:46.420000,2a3c600a
408654897,-778306607,3358,0:34:46.510000,2a3c600a
408654994,-778306689,3358,0:34:46.610000,2a3c600a
408655090,-778306777,3359,0:34:46.710000,2a3c600a
408655184,-778306866,3359,0:34:46.810000,2a3c600a
408655278,-778306952,3359,0:34:46.909000,2a3c600a
408655372,-778307034,3359,0:34:47.020000,2a3c600a
