lat,long,elev,timediff,current_time,OBUID
408625147,-778368014,3321,0:33:22.080000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 350000),)",2a3c600d
408625960,-778369749,3340,0:33:22.130000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 401000),)",2a3c603c
408625127,-778368041,3321,0:33:22.180000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 448000),)",2a3c600d
408625960,-778369749,3340,0:33:22.230000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 499000),)",2a3c603c
408625109,-778368070,3322,0:33:22.280000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 548000),)",2a3c600d
408625960,-778369749,3340,0:33:22.330000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 602000),)",2a3c603c
408625094,-778368100,3321,0:33:22.380000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 648000),)",2a3c600d
408625960,-778369749,3340,0:33:22.430000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 700000),)",2a3c603c
408625079,-778368128,3321,0:33:22.480000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 748000),)",2a3c600d
408625960,-778369749,3340,0:33:22.530000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 801000),)",2a3c603c
408625067,-778368159,3321,0:33:22.580000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 852000),)",2a3c600d
408625960,-778369749,3340,0:33:22.630000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 902000),)",2a3c603c
408625057,-778368190,3321,0:33:22.680000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 948000),)",2a3c600d
408625960,-778369749,3340,0:33:22.730000,"(datetime.datetime(2026, 8, 21, 16, 28, 23, 999000),)",2a3c603c
408625048,-778368220,3321,0:33:22.780000,"(datetime.datetime(2026, 8, 21, 16, 28, 24, 47000),)",2a3c600d
408625960,-778369749,3340,0:33:22.830000,"(datetime.datetime(2026, 8, 21, 16, 28, 24, 102000),)",2a3c603c
