lat,long,elev,,,,,,,,,
40.86502607,-77.83567966,335.5,,,,,,,,,
40.86502357,-77.83569103,335.4900056,,,,,,,,,
40.86502105,-77.83570239,335.4796895,,,,,,,,,
40.86501853,-77.83571375,335.4690473,,,,,,,,,
40.86501598,-77.8357251,335.4580789,,,,,,,,,
40.86501343,-77.83573644,335.4467843,,,,,,,,,
40.86501086,-77.83574778,335.4351637,,,,,,,,,
40.86500827,-77.83575911,335.4232169,,,,,,,,,
40.86500568,-77.83577044,335.410944,,,,,,,,,
40.86500307,-77.83578176,335.3983449,,,,,,,,,
40.86500044,-77.83579308,335.3854199,,,,,,,,,
40.8649978,-77.83580438,335.3721687,,,,,,,,,
40.86499515,-77.83581569,335.3585915,,,,,,,,,
40.86499248,-77.83582699,335.3446883,,,,,,,,,
40.8649898,-77.83583828,335.3304591,,,,,,,,,
40.86498711,-77.83584957,335.3158984,,,,,,,,,
40.8649844,-77.83586086,335.3010114,,,,,,,,,
40.86498168,-77.83587214,335.2857983,,,,,,,,,
40.86497894,-77.83588341,335.270259,,,,,,,,,
40.86497619,-77.83589468,335.2543936,,,,,,,,,
40.86497345,-77.83590587,335.2383075,,,,,,,,,
40.86497069,-77.83591705,335.2219002,,,,,,,,,
40.86496792,-77.83592823,335.2051716,,,,,,,,,
40.86496513,-77.8359394,335.1881219,,,,,,,,,
40.86496233,-77.83595056,335.1707512,,,,,,,,,
40.86495952,-77.83596172,335.1530598,,,,,,,,,
40.86495669,-77.83597287,335.1350477,,,,,,,,,
40.86495386,-77.83598402,335.1167152,,,,,,,,,
40.864951,-77.83599516,335.0980623,,,,,,,,,
40.86494814,-77.83600629,335.0790894,,,,,,,,,
40.86494526,-77.83601741,335.0597965,,,,,,,,,
40.86494237,-77.83602853,335.0401839,,,,,,,,,
40.86493946,-77.83603964,335.0202518,,,,,,,,,
40.86505484,-77.83569075,335.63,,,,,,,,,
40.86505231,-77.83570216,335.6231212,,,,,,,,,
40.86504976,-77.83571357,335.6160089,,,,,,,,,
40.8650472,-77.83572497,335.6086661,,,,,,,,,
40.86504464,-77.83573637,335.6010929,,,,,,,,,
40.86504206,-77.83574776,335.5932892,,,,,,,,,
40.86503947,-77.83575915,335.585255,,,,,,,,,
40.86503686,-77.83577054,335.5769904,,,,,,,,,
40.86503425,-77.83578192,335.5684953,,,,,,,,,
40.86503163,-77.83579329,335.5597697,,,,,,,,,
40.86502899,-77.83580466,335.5508137,,,,,,,,,
40.86502635,-77.83581603,335.5416272,,,,,,,,,
40.86502369,-77.83582739,335.5322102,,,,,,,,,
40.86502102,-77.83583875,335.5225627,,,,,,,,,
40.86501834,-77.83585011,335.5126848,,,,,,,,,
40.86501565,-77.83586145,335.5025805,,,,,,,,,
40.86501295,-77.83587279,335.4922458,,,,,,,,,
40.86501024,-77.83588412,335.481681,,,,,,,,,
40.86500751,-77.83589545,335.4708859,,,,,,,,,
40.86500478,-77.83590678,335.4598605,,,,,,,,,
40.86500202,-77.83591818,335.44853,,,,,,,,,
40.86499924,-77.83592957,335.436966,,,,,,,,,
40.86499645,-77.83594095,335.4251686,,,,,,,,,
40.86499366,-77.83595234,335.4131379,,,,,,,,,
40.86499085,-77.83596371,335.4008738,,,,,,,,,
40.86498803,-77.83597509,335.3883764,,,,,,,,,
40.8649852,-77.83598646,335.3756457,,,,,,,,,
40.86498235,-77.83599782,335.3626817,,,,,,,,,
40.8649795,-77.83600918,335.3494844,,,,,,,,,
40.86497663,-77.83602053,335.3360538,,,,,,,,,
40.86497376,-77.83603188,335.32239,,,,,,,,,
40.86497087,-77.83604323,335.3084931,,,,,,,,,
40.86496797,-77.83605457,335.294363,,,,,,,,,
40.86401636,-77.83667883,331.3,,,,,,,,,
40.86400976,-77.83668442,331.3182083,,,,,,,,,
40.86400296,-77.83668953,331.3026242,,,,,,,,,
40.86399589,-77.83669437,331.2838266,,,,,,,,,
40.86398834,-77.83669831,331.2801888,,,,,,,,,
40.86398326,-77.83670005,331.2868575,,,,,,,,,
40.86397661,-77.83669818,331.30843,,,,,,,,,
40.86397078,-77.83669395,331.3274405,,,,,,,,,
40.86396554,-77.83668876,331.3396328,,,,,,,,,
40.86403188,-77.83671236,331.16,,,,,,,,,
40.86402264,-77.83672112,331.1882615,,,,,,,,,
40.86401282,-77.83672887,331.1910711,,,,,,,,,
40.86400245,-77.836735,331.1976648,,,,,,,,,
40.86399166,-77.83673919,331.1948178,,,,,,,,,
40.86397719,-77.83673992,331.1988258,,,,,,,,,
40.86396527,-77.83673593,331.226323,,,,,,,,,
40.86395427,-77.83672743,331.2480901,,,,,,,,,
40.86394478,-77.83671631,331.2722692,,,,,,,,,
40.86387214,-77.83652148,331.92,,,,,,,,,
40.86386679,-77.8365135,331.9486059,,,,,,,,,
40.86386235,-77.83650473,331.9842332,,,,,,,,,
40.86385884,-77.83649537,332.0245128,,,,,,,,,
40.86385625,-77.83648564,332.0671258,,,,,,,,,
40.86385453,-77.83647574,332.1105751,,,,,,,,,
40.86385363,-77.83646582,332.1548597,,,,,,,,,
40.86385347,-77.83645601,332.2024461,,,,,,,,,
40.86385412,-77.83644639,332.2526342,,,,,,,,,
40.86385549,-77.83643702,332.298709,,,,,,,,,
40.8638576,-77.83642792,332.3376017,,,,,,,,,
40.86386041,-77.83641916,332.3676931,,,,,,,,,
40.86386386,-77.83641081,332.3898265,,,,,,,,,
40.86386773,-77.83640279,332.4083643,,,,,,,,,
40.86387182,-77.83639501,332.4263562,,,,,,,,,
40.86387647,-77.83638676,332.4466213,,,,,,,,,
40.86388134,-77.83637866,332.4688581,,,,,,,,,
40.8638872,-77.83636945,332.4989441,,,,,,,,,
40.86389321,-77.83636036,332.535149,,,,,,,,,
40.86389926,-77.8363513,332.5779248,,,,,,,,,
40.86390519,-77.83634217,332.6258199,,,,,,,,,
40.86391085,-77.83633286,332.6771513,,,,,,,,,
40.86391625,-77.83632337,332.7304954,,,,,,,,,
40.86392153,-77.8363138,332.7847544,,,,,,,,,
40.86392681,-77.83630424,332.8388455,,,,,,,,,
40.86393215,-77.83629474,332.8916054,,,,,,,,,
40.86393761,-77.83628532,332.9421026,,,,,,,,,
40.86394319,-77.836276,332.9908862,,,,,,,,,
40.86394886,-77.83626678,333.0392573,,,,,,,,,
40.86395463,-77.83625764,333.088529,,,,,,,,,
40.86387214,-77.83652148,331.92,,,,,,,,,
40.86386698,-77.83651333,331.9579348,,,,,,,,,
40.86386198,-77.83650501,331.9910497,,,,,,,,,
40.86385729,-77.83649639,332.0235725,,,,,,,,,
40.86385306,-77.83648734,332.0594268,,,,,,,,,
40.86384948,-77.83647782,332.1023772,,,,,,,,,
40.86384671,-77.83646785,332.1540854,,,,,,,,,
40.8638448,-77.83645754,332.2120949,,,,,,,,,
40.86384367,-77.83644703,332.2702272,,,,,,,,,
40.86384338,-77.83643639,332.3210849,,,,,,,,,
40.86384369,-77.83642568,332.3648653,,,,,,,,,
40.86384453,-77.83641491,332.4028203,,,,,,,,,
40.86384583,-77.83640409,332.4360022,,,,,,,,,
40.86384756,-77.83639321,332.4650279,,,,,,,,,
40.86384973,-77.8363823,332.4900877,,,,,,,,,
40.86385237,-77.83637126,332.5119516,,,,,,,,,
40.86385543,-77.83636034,332.5320939,,,,,,,,,
40.8638589,-77.83634936,332.5544312,,,,,,,,,
40.86386266,-77.83633858,332.5823586,,,,,,,,,
40.86386667,-77.83632798,332.6186948,,,,,,,,,
40.86387087,-77.83631752,332.662643,,,,,,,,,
40.86387523,-77.83630717,332.7103388,,,,,,,,,
40.8638797,-77.8362969,332.75809,,,,,,,,,
40.86388425,-77.83628671,332.8042057,,,,,,,,,
40.86388886,-77.83627656,332.8501836,,,,,,,,,
40.86389351,-77.83626644,332.8976538,,,,,,,,,
40.86389817,-77.83625633,332.9467013,,,,,,,,,
40.86390282,-77.83624622,332.9963985,,,,,,,,,
40.86390743,-77.8362361,333.0457978,,,,,,,,,
